Human subject ID,Subjective opinion (Korean),Subjective opinion (English – Papago translation),Subjective opinion (English – Na Min’s translation)
300,난이도가 굉장히 어렵게 느껴졌습니다. ,I felt the difficulty level of difficulty. ,
,"특히 앞서 본 시간과 다른 자세, 표정 등이 낯설었습니다.","In particular, I was unfamiliar with the posture and expression that were different from the time I saw earlier.",
,사람 인식 시에는 그 사람의 특징을 기억하고자 머리 모양이나 옷깃 등에 주목하였습니다.,"When recognizing a person, I paid attention to his hair shape and collar to remember his characteristics.",
,"뒤로 갈수록 사람마다 특징, 얼굴 모양이 기억에 남아 초반에 비하면 상대적으로 덜 어렵게 느껴졌습니다.","As time went by, each person's characteristics and face shape were remembered, so it felt relatively less difficult than in the beginning.",
301,난이도는 매우 상,Difficulty level is very high,
,머리나 주변 배경 위주로 찾은 것 같음,I think I focused on my hair or surrounding background,
,단순 작업이다 보니 뒤로 갈수록 집중력이 흐트러짐.,"Since it's a simple task, my concentration gets worse as I go back.",
,추상적인 문제가 많아 찍게된 경우나 그냥 넘어간 문제가 많음.,"There are a lot of abstract problems, so there are a lot of problems that I took, or there are a lot of problems.",
302,"1. Pre-test에서는 동일한 부분(혹은 유사 부분)을 픽셀화된 (화질을 낮추게 한) 사진은 고르게 하였지만, 본 test 진입하였을 때에는 사람의 정면 사진을 닮은 고르게 구성이 되었지만 그런데 보여준 사람의 다양성으로 (웃는 얼 굴, 옆면을 보는 등) 인해 고르기가 굉장히 난감함.","1. In the pre-test, the same part (or similar part) was pixelated (lowering image quality) but when entering this test, it was evenly composed that resembles a person's front picture, but it was difficult to choose due to the diversity of the person shown (smiling face, looking at the side, etc.).",
,2. 상기 이유로 인해 처음 제시하는 사진이 화질 저하에 되는 점에 있어서는 변수가 될 수 있다는 생각이 되지만 옆모습이나 웃는 모습 등의 사진을 제시하고 나서 사람의 정면 사진을 고르라고 하는 것은 피험자에 있어 굉장히 불편할 수 있는 상황이라 생각됨.,"2. For the above reasons, I think it can be a variable in that the first picture presented deteriorates the image quality, but it can be very inconvenient for the subject to suggest a picture of a person's front face after presenting a picture such as a profile or a smile.",
,3. 화질 저하가 최대로 되었을 때에는 최대한 정명사진의 것으로 제시하여야 하지 않나 판단됨.,"3. When the deterioration of image quality is maximized, it is judged that it should be presented as a regular picture as much as possible.",
303,문제가 어렵습니다.,The problem is difficult.,
,문제가 너무 많아요.,There are too many problems.,
,"주로 윤곽, 머리 위주를 보고 골랐습니다.",I chose it mainly based on The outline and The head.,
304,"인식 주목: 남녀 판단, 얼굴형, 앞머리 위주로 판단함","Attention to perception: male and female judgment, face shape, and bangs are mainly judged",
,난이도: 어려움,Difficulty: Difficulty,
305,많이 어려움. 머리 스타일(앞머리 묶음 등)에 주목. 얼굴형 외에도 주목. 명암없이 흑백으로만 나타날 때 구분이 불가능함. 얼굴형 이외의 사진의 배경으로도 알아볼 수 있는 요소가 있음.,"Very difficult. Pay attention to your hairstyle (braid, etc.). Pay attention to your face shape. It is impossible to distinguish when it appears only in black and white without light. There is also an element that can be recognized as a background of a picture other than a face shape.",
306,"몇 몇 그림들은 사람 얼굴인지 알아보기 너무 어려워서 찍은 것들이 많습니다. 나머지 그림은 얼굴 윤곽, 헤어스타일 (M자 이마, 머리핀) 극복했습니다. 재밌었습니다. 감사합니다.","Some of the paintings were taken because it was so hard to tell if they were human faces. The rest of the painting overcame the facial contour, hairstyle (M-shaped forehead, hairpin). It was fun. Thank you.",
307,"사람얼굴 인식을 가장 먼저했는데, 순서상 1번이어서 시작했습니다. 픽셀, 해상도, 얼굴형, 좌우비대칭, 헤어스타일을 비교하면서 선택했으며, frontal 이미지가 선택지에 주어졌으며, 보기 예시는 angle이 여러 방향이어서, 예측을 해서 선택을 해야 했습니다. 그리고 표정이 있었습니다. (입꼬리, 입모양, 눈웃음 등. 광대, 코, 볼 등) 턱선, 얼굴형, 헤어라인, 콧볼 주요 4가지가 구분하는데 결정적이었으며, 눈매, 눈썹모양도 구분 쉬웠음. 피부노화, 쳐짐을 쉽게 구분 가능했으며 (노화, 연령 높은 분 쉽게 찾음) (어둡고 피부가 쳐져 보임. 아래로 늘어져 보임. 팔자주름). 지방 볼살 à 상대적으로 밝게 나와서 선택하기 쉬웠음. 굴곡이 있거나 입체적인 부분, 살찐 볼살. 후반부로 갈수록 (1시간 정도 경과) 집중력이 떨어지고 눈이 아픔. 데이터셋을 많이 돌리면 일정 시점부터 정확도가 내려갈 것 같음. 휴식을 10분셋으로 하고 사용자가 준비되면 시작할 수 있게 조정 가능. 범위가 늘어나야 함. (충분한 휴식시간 필요함.) 눈이 너무 피로함. 매해지고 아픔. Data augmentation à 앞머리 모양 배제하고 돌려야 할 것 같음. 1시간 이후부터 앞머리 모양만 보고 맞춤. 눈이 너무 아프고 집중력이 떨어짐. 이미지가 일정 팬턴이 있음. 랜덤인 것 같지만 선택지 답의 위치가 패턴있음.","I was the first to recognize a person's face, but I started it because it was number one in order. Pixels, resolutions, facial shapes, left and right asymmetry, and hairstyles were compared and selected, frontal images were given to the choices, and the examples of the view had to be predicted and selected. And there was an expression. (Mouth corners, mouth shape, eye smile, etc.) cheekbones, nose, cheeks, etc.) It was crucial to distinguish the jawline, face shape, hairline, and noseball, and the shape of the eyes and eyebrows were easy to distinguish. It was easy to distinguish skin aging and drooping (ageing, easy to find older people) (darkness and drooping skin appearance). It looks like it's hanging down. laugh lines). Fat cheeks.  It came out relatively bright, so it was easy to choose. Curved or three-dimensional parts, fat cheeks. As I go to the second half, my concentration decreases (about an hour later) and my eyes hurt. If you spin a lot of data sets, the accuracy will decrease from a certain point in time. Can be adjusted to set the break to 10 minutes and start when the user is ready. The range should be increased. (Enough break time is required.) Too tired eyes. a stroke of pain Data augmentation  bangs should be removed and turned. After an hour, just look at the shape of your bangs. My eyes hurt so much and my concentration is low. The image has a constant panton. It seems random, but the location of the answer choices is patterned.",
308,난이도: 어려웠음,Difficulty level: Difficult,
,1. 측면에서 정면 유추가 어려움,1. Difficulty in head-to-head analogy from the side,
,2. 표정변화가 어려움,2. Difficult to change facial expressions,
,,,
,인식할 때 어디를 주목했는지:,Where did you notice when you recognized:,
,1. 얼굴의 동그란 형태와 길쭉한 형태,1. Round and long face shape,
,"2. 이마, 인중의 비례",2. Proportion of forehead and philtrum,
,"3. 눈꼬리, 주름","3. The ends of the eyes, wrinkles",
,4. 성별에 따른 윤곽,4. Outline by gender,
,5. 이마-헤어스타일로 가려진 부분,5. Forehead-hair-style covered area,
,,,
,실험에 대한 전체적인 의견:,Overall comments on the experiment:,
,"몇 번째 세트인지, 몇 번째 문제인지 알려줬으면 합니다.",Please tell me which set it is and which question it is.,
400,"해상도가 나쁠 때와 좋을 때의 차이가 큰 것 같음 (해상도가 나쁘면 난이도가 높음.) 인식할 때 주로 얼굴의 윤곽, 귀 2개를 많이 보게 됨. 사진이 대체로 유사해서 오히려 헷갈리는 듯. 얼굴 인지에 관련해서 조금 더 여러 사람이 나오고, 또 표정이 다양하게 준비되면 좋을 것 같음.","There seems to be a big difference between when the resolution is bad and when the resolution is bad, the difficulty is high. When recognizing it, you usually see the outline of the face and two ears. It seems rather confusing because the pictures are generally similar. I think it would be good if more people come out about face recognition and various expressions are prepared.",
401,몇 몇 사진에 있어서 흑백 필터가 제대로 처리되지 않은 사진이 있어서 이 부분으로 사진이 유추가 가능해 이 점이 조금 아쉬웠습니다.,"In some pictures, there are pictures that are not properly filtered in black and white, so I was a little disappointed that the picture could be inferred from this part.",
402,"어려운게 더 많은 것 같고, 같은 사람들만 나와서 그 사람의 분위기나 느낌들로 선택하게 됨.","I think There are more difficult things, and only The same people come out and choose based on their mood or feelings.",
,머리 모양이나 얼굴형을 주목해서 선택하였음.,I chose it by paying attention to The hair shape or face shape.,
,과학적 근거에 따라 설정하였겠지만 세션이 너무 많은 느낌,"I'm sure you set it up based on scientific evidence, but it feels like there are too many sessions",
,처음 설명해주실 때 얼굴이 정면이 아닌 구도가 나올 수도 있다고 설명해주시면 실험 초반 이해도가 높을 것 같음,"If you explain that your face may come out in a composition other than The front when you explain it for The first time, I think you will understand it well at The beginning of The experiment",
403,"생각보다 낮은 화질로 나왔습니다. 거의 판별이 불가능한 사진도 많았는데, 낮은 화질에서도 1. 얼굴형 2. 추정연령대 3. 남/여는 대부분은 구별 가능하였습니다. 얼굴형으로 가장 크게 구분하였는데 2가지를 크게 보았습니다. 둥그스러운 얼굴. 달갈형이 많았습니다. 이렇게 얼굴의 두 길이를 보고 얼굴형을 판단하여 실험을 진행하였습니다. 인식 순위: 얼굴형 -> 추정연령대 -> 성별 정면에서 봤을 때와 측변에서 보았을 때도 큰 차이가 있는 것 같았습니다.","The video quality is lower than I thought. There were many pictures that were almost impossible to distinguish, but even in low quality, 1. face type 2. estimated age group 3. Most men/women were distinguishable. It was divided into the largest by face type, and I saw two big things. a round face There were a lot of Dalgal. The experiment was conducted by judging the face shape by looking at the two lengths of the faces. Perception ranking: Face type -> Estimated age group -> Gender front and side seemed to be significantly different.",
404,너무 어려워서 거의 찍다싶이 풀었습니다.,It was so hard that I solved it as if I was taking a picture.,
,"얼굴형, '눈, 코, 입' 위치, 머리스타일의 유사성을 보고 맞추려고 했습니다.","I tried to match the similarities between face shape, 'eye, nose, mouth' position, and hairstyle.",
,특정 부분에 집중해서 맞는 그림을 찾으려고 하면 고르기가 어려웠습니다. ,It was hard to choose if I focused on a specific part and tried to find the right picture.,
,나중에는 전체 윤곽을 기억해서 맞는 그림을 찾으려고 했습니다.,"Later, I remembered the whole outline and tried to find the right picture.",
,졸음이 와서 집중력이 떨어지니 이 방법의 효율이 떨어지는 느낌이 들었습니다.,I felt that the efficiency of this method was decreased because I was sleepy and my concentration was decreased.,
,문제의 그림이 반복되니 인물을 기억하게 되면서 난이도가 조금 쉬워지는 느낌이 들었습니다.,"As the picture in question was repeated, I felt that the difficulty level became a little easier as I remembered the characters.",
,"남자 vs. 여자, 젊은사람 vs. 늙은사람으로 구분해서 풀려고 했습니다.","Man vs. woman, young man vs. I tried to break it down into old people.",
405,"저해상도는 눈코입 위치만 보여서 인식하기 어려웠음. 머리스타일(이마 모양)과 얼굴형, 눈매를 주목함. 1 trial에 80번은 좀 많은 것 같습니다.","The low resolution was difficult to recognize because only the eyes, nose, and mouth positions were visible. Attention is paid to the hairstyle (head shape), face shape, and eyes. I think 80 times per trial is a lot.",
406,Pre-test에 비해 난이도가 높아졌습니다.,Difficulty is higher compared to Pre-test.,
,"주로 머리모양(가르마, 귀를 덮는 여부, 파마), 입모양에 주목했습니다. (+눈썹모양) (+귀모양) (+살집이 있는 정도) 처음엔 사진 중 인물을 찾으려고 노력했으나 뒤에는 학습이 되어 누군지 예측이 가능했습니다.","I mainly focused on the shape of the hair (parting, covering the ears, perming), and the shape of the mouth. (+Eyebrow shape) (+Ear shape) (+Ear shape) (+Ear shape) At first, I tried to find the person in the picture, but after that, I was able to predict who it was.",
407,1. 생각보다 어렵다고 느껴졌습니다.,1. I felt it was harder than I thought.,
,2. 대부분 얼굴형이나 머리모양에 주목을 하게 되는 것 같습니다. 혹은 콘트라스트가 어디에서 생길까 하는 부분에 집중하는 것 같기도 하고.,2. Most of them seem to pay attention to their face shape and hair shape. Or I think I'm focusing on where the contrast comes from.,
499,,,
500,"전반적으로 너무 어렵다. 옆모습 보고 앞모슾 맞추는게 어렵고, 몇가지는 거의 얼굴 형태도 못 알아볼 정도로. 그럴때마다 그냥 찍을 수 밖에 없어서 도움이 될지 모르겠습니다. 남녀구분으로 고르기도 하고 볼살 크기 코 모양에 집중하였습니다. 그리고 머리스타일.","Overall, it is too difficult. It's hard to see the profile and align the front and back, and a few are almost impossible to recognize the shape of the face. Whenever that happens, I can't help but take pictures, so I don't know if it'll help. I chose male and female, and focused on cheek fat and nose shape. And hair style.",
502,문제가 어려웠어요.,The question was difficult.,
,똑같은 문제를 푸는 느낌이 들었어요.,I felt like I was solving The same problem.,
503,얼굴 골격으로 남자인지 여자인지 구분했다. 머리나 장식이 달라서 구별하기 쉬웠다. 해상도가 낮거나 눈코입이 안 보이는 사진은 구별하기 어려웠다.,"The facial skeleton distinguished male or female. It was easy to distinguish because the hair and decorations were different. It was difficult to distinguish between photos with low resolution or invisible eyes, nose, and mouth.",
504,"너무 어려웠습니다… 머리 모양/눈썹 모양을 위주로 인식했습니다. (명암). 인식하는데 주어진 시간이 너무 짧아요. ㅠㅠ (아마, 어려워서 더 그렇게 느껴졌던 것 같습니다.) 문제가 너무 많아요. ㅠㅠ… 실험시간을 3시간으로 공지해 주셨으면 좀 더 여유 있었을 것 같아요. 정면 사진만으로 다양한 표정/각도에서의 해상도 낮은 사진을 구분 짓기가 상당히 힘들었습니다. 같은 그림 찾기 (test 문제처럼) 절반 + 본 실험 절반으로 문제 수를 조절하면, 처음 접한 사람들도 문제 푸는 동안 적응(?)해서 더 쉽게 순차적으로 난이도의 어려움을 받아들일 수 있었지 않을까 조심히 제안해 봅니다. 고생 많으셨습니다. 감사합니다. 😊","It was so difficult… It mainly recognized the shape of the head/eyebrow (lightness). The time given to recognize is too short. TT (Maybe, it felt more like that because it was difficult.) There are too many problems. ㅠ 실험... I think it would have been more relaxed if you announced the experiment time as 3 hours. It was quite difficult to distinguish between low-resolution photos at various facial expressions/angle points with just the front photo. If you adjust the number of questions to half of the same picture (like the test problem) + half of this experiment, I carefully suggest that people who first encountered it could adapt (?) to the problem and accept the difficulty sequentially. Thank you for your hard work. Thank you 😊",
505,"머리 모양(길이, 가르마) 등이 두드러지는 경우 얼굴이 잘 보이지 않아도 구분하기 용이했습니다.","If The hair shape (length, parting) was prominent, it was easy to distinguish even If The face was not clearly visible.",
,인물의 얼굴이 익숙해져서 좀 더 확신을 갖고 선택하는 경우가 초반에 비해 많아졌습니다.,"I'm used to the character's face, so I'm more confident when choosing compared to the beginning.",
,표정을 지은 점묘화의 경우 얼굴형과 눈 코 모양 등이 달라져 비확신 또는 선택하지 못하게 되는 경우가 잦아졌습니다.,"In The case of point drawings with facial expressions, The face shape and The shape of The eyes and nose have changed, making it more often impossible to be sure or choose.",
,익숙해진 얼굴의 경우 점묘화가 나왔을 때 (뒤의 선택 사진이 나오기 전) 저화질에서도 그 인물의 얼굴을 먼저 떠올리게 되는 경우도 있었습니다.,"In the case of a familiar face, when a point drawing came out (before the photo of the choice in the back) there were cases where the person's face was first recalled even in low-definition.",
506,"난이도가 꽤 어렵다. 얼굴 윤곽선(턱선, 목길이, 헤어라인 등)을 먼저보고 구분이 안 갈 때는 특징적인 부분을 찾아서 대조. (음영, 이목구비 라인 등등). 뒤로 갈수록 조금씩 사람 얼굴에 익숙해져 안 보이던 윤곽이 잘 보이는 것 같습니다.","The difficulty is quite difficult. Look at the contour of the face (jaw line, neck length, hair line, etc.) first, and when you can't distinguish it, find and contrast the characteristic parts (shade, facial feature line, etc.). I think I can see the outline that I couldn't see well as I got used to the human face as I went back.",
507,"기계가 저 정도를 인식할 수 있는 수준이 가능할까 싶을 정도로 어려웠다. 화소가 적은 점묘화는 어려운게 당연하지만 그렇지 않은 것들 중에서도 닮은 사람이 많아 헷갈렸다. 눈매와 입꼬리로 구별하려 했는데 입꼬리가 올라간 점묘화의 답 후보에 입꼬리가 내려간 사람만 있는 경우가 더러 있어 그렇게만 구분하면 안 될 것 같았다. 하다보니 머리칼, 눈썹, 얼굴라인에 주목하면 된다는 것을 알았다. 그러나 여전히 닮은 사람이 많아 확신을 가지고 체크하고 있지는 않다.","It was so difficult that I wondered if it was possible for the machine to recognize that degree. It is natural that point drawing with few pixels is difficult, but I was confused because there are many people who look like it among those who do not. I tried to distinguish it by the eyes and the corners of my mouth, but in some cases, only the corners of my mouth were lowered, so I thought I should not distinguish it like that. As I did it, I realized that I could pay attention to my hair, eyebrows, and face line. However, there are still many people who look like him, so he is not checking with confidence.",
508,"난이도 어렵다. 비확신이 너무 많고 잘 알아보기 힘듦. 너무 많아서 확신 없는데 확신한 것도 있음. 노래가 나른해서 너무 졸림. 꿈에 나올 것 같다. 너무너무 졸리다. 확신하지 않는데 뭔가 보이는 것 같은 착각이듬. _ _ 특징 비슷한 사람이 너무 많고, 얼굴형, 헤어라인. (눈코입을 처음엔 보려고 했는데 소용이 없어서 전체적인 틀을 봄. 같은 문제가 많이 나는데 지루함. 졸림 근데 어려움.)","The difficulty level is difficult. Too much uncertainty and hard to understand. There are so many that I'm not sure, but there are certain things. I'm so sleepy because the song is drowsy. I think it will come out in my dream. I'm so sleepy. I'm not sure, but I think I'm seeing something. __ There are too many people with similar characteristics, face shape, hairline. (I tried to see the eyes, nose, and mouth at first, but it didn't work, so I looked at the overall Bored with the same problems. It's hard to be sleepy.)",
601,"인식할 때 헤어스타일 à 코 à 볼 순서로 본 것 같습니다. 연령과 성별이 예측되면, 헤어스타일만 보아도 확신히 드는 것 같습니다. 점자화 되어 나오는 이미지만 아니면, 다른 이미지는 쉬운 것 같습니다.","When recognizing it, I think I saw it in the order of hairstyle à nose à cheeks. When age and gender are predicted, it seems certain just by looking at the hairstyle. If it's not just an image that comes out in braille, I think other images are easy.",
602,"헤어스타일만 보고 구분하는데 도움을 입었는데, 모두 동일한 헤어스타일이었다면 구분하기 매우 어려웠을 것 같다(+체형 또한)","I was helped to distinguish it by looking at the hairstyle, but if it was all the same hairstyle, it would have been very difficult to distinguish (+body type also)",
603,"1. 실험을 처음 할 때, 무척 어려웠다. 하지만 익숙해짐에 따라, 몇 몇 사진은 풀 수 있었다. 얼굴이 엄청 개성적인 분은 좀 더 확신 있게 풀게 된다. 각도가 틀어진 사진은 풀기가 어렵다. 얼굴 형태 (넙적한, 계란형) 등을 보고 풀었다. 어떤 문제는 픽셀 사진을 보고 헷갈렸는데, 4개 선택지 중 나머지 3개가 너무 아니어서 푼 문제도 있었다. 그래서 OX 문데, 또는 주관적으로 해요 하나라는 생각이 들었다.","1. When I first did the experiment, it was very difficult. But as I got used to it, I was able to release some pictures. Those with a very unique face will be able to solve it with more confidence. It's hard to solve a picture with a twisted angle. I solved it by looking at the shape of the face (flat, egg-shaped). One problem was confusing when I saw the pixel picture, but there was also a problem that the other three of the four options were not too good. So I thought it was OX, or subjectively, one.",
604,30-40%는 인식 가능. 60%는 정체도 모르겠음(어려움ㅠ) 인식할 때 이목구비(눈 크기나 모양 등)랑 얼굴형(계란? 길쭉? 통통 등) 위주로 체크했음 + 느껴지는 분위기…? 표현은 불가능하지만. 또한 머리카락 스타일 등도 보게 됨. 성별 먼저 추론. 그 분 얼굴형 통해서 이물상한지 통통한지 등을 판별. 눈코입 모양 및 사이즈로 확인. 선지 중에 성별이 제한되는 사람이 있으면 인식이 어려워도 선택이 쉬워질 수 있음. 문제를 많이 풀수록 눈에 피로감이 쌓여서 점점 인식이 저하되는 느낌.,"30-40% are recognizable. 60% of them checked their features (eyes size or shape) and face shape (egg? length? chubby) when they recognized their identity (difficulty) + the atmosphere they felt...? Though it's impossible to express. You will also see hair styles. Gender first inference. Determine whether he is foreign or chubby through his face type. Check the shape and size of the eyes, nose, and mouth. If there is a person whose gender is restricted among seonji, it can be easy to choose even if it is difficult to recognize. The more you solve the problem, the more tired your eyes are, and the more you feel, the more your perception decreases.",
605,"명암 없이 완전한 흑백으로 이루어진 사진과 점의 개수가 적을수록 어려웠습니다. 인식할 때는 앞머리와 턱의 모양을 중점으로 보고 귀와 코 위치를 세부적으로 봤습니다. 상대적인 귀 위치에 따른 코 길이로 턱이 비슷하게 생긴 사람을 구분했습니다. 동일한 인물들이 계속 나와서 뒤로 갈수록 얼굴 점선의 특정짓는 윤곽을 기억하기 보다 실제 이미지측 남자를 기억하며 생각이 굳어졌습니다. 혼자 머릿속으로 ‘앞머리 없는 남자,’ ‘턱이 뾰족한 남자,’ ‘머리가 풍성한 아주머니,’ 이렇게 이름지어 점선 이미지를 보고 바로 특정 그분을 찾으려 했습니다.","The smaller the number of photos and dots made up of complete black and white without light and shade, the more difficult it was. When recognizing it, we focused on the shape of the bangs and chin and looked at the ear and nose positions in detail. The nose length according to the relative ear position distinguished people with similar jaws. The same characters kept coming out, and as we went back and forth, the idea hardened, remembering the actual image man rather than remembering the contours that specify the face dotted lines. In my head alone, I tried to find a specific person by looking at the dotted image by naming it ""a man without bangs,"" ""a man with a sharp chin,"" and ""a woman with a rich head.""",
606,"생각보다 난이도가 꽤 어렵다고 느껴지네요. 비장애인인 저조차도 확신이 안가는 문제가 40% 정도 되는 것 같습니다. 인식할 때 얼굴형 등 윤곽에 집중했고, 헤어스타일도 큰 단서가 됐습니다. 옆모습을 보여줄 때 더 어렵게 느껴졌구요. binary image는 거의 찍다시피 풀었습니다. grayscale을더 크게 해줘야 인식을 잘 할 것 같습니다. 이미지의 channel을 너무 작게 줄여버린건 단서가 적어 풀기 힘들었습니다. 실험 시간이 생각보다 길고, 문제수가 많아 피로도가 쌓입니다. 이는 실험자의 정답률에 안좋은 영향을 끼칠 것이라 사려됩니다. 추후실험에서는 난이도를 낮추고 (픽셀, 선명도 등 up), 문제수를 적게 하면 더 좋은 결과가 나올 것 같아요. 총평: 어렵다!","I think it's quite difficult than I thought. I think there are about 40 percent of the problems that even I, who are non-disabled, are not sure about. When recognizing it, I focused on the outline of the face shape, and the hairstyle became a big clue.It felt more difficult when I showed my profile. I almost solved the binary image. I think the gray scale needs to be bigger to recognize it well. It was difficult to solve the channel of the image because there were few clues. The experiment time is longer than I thought, and the number of problems increases, so fatigue builds up. This is thought to have a negative effect on the experimenter's correct answer rate. In future experiments, lower the difficulty level (up pixels, sharpness, etc.) and lower the number of questions will result in better results. General Review: It's difficult!",
608,할수록 집중력이 떨어진다.,"The more you do, the less you concentrate.",
,저해상도 중 픽셀같은 가진은 뭘 찍어야 할지 성별도 전혀 모르겠고 감이 안 온다.,"Among low-resolution pixels, Ga-in, like pixels, has no idea what to take, and has no idea what gender to take.",
,문제가 너무 많다.,There are too many problems.,
,"앞머리 모양, 얼굴형을 중심적으로 봤다.",I focused on the shape of my bangs and face.,
609,"어려운건 엄청 어렵고, 알아볼만한건 알아볼 수 있었다. 머리, 얼굴 외곽 및 눈코입 등을 보고 판단하였다. 데이터가 엄청 많았는데 인간적으로 못알아볼만한 것들은 의미 없어보였다. 그런건 빼면 실험시간 30%는 줄일 수 있을 것 같았다.","It's hard, it's hard, it's recognizable. It was judged by looking at the head, the outside of the face, eyes, nose, and mouth. There was a lot of data, but humanly unrecognizable things seemed meaningless. Except for that, I thought I could reduce the experimental time by 30%.",
610,"사람마다 갖는 특징 (앞머리, 귀, 입모양, 콧볼 크기, 눈썹 등)을 기억했다가 찾으려고 노력하였다. 특징이 뚜렸하게 보이지 않거나 픽셀이 크면 인식하기 어려워서 비슷한 사진을 찾기 어려웠다.","I tried to remember and find the characteristics of each person (front hair, ears, mouth shape, nose ball size, eyebrows, etc.). It was difficult to find similar pictures because it was difficult to recognize if the characteristics were not clearly visible or if the pixels were large.",
611,"명암이 2단계일 때는 아무리 해상도가 좋아도 분간이 안 될 것 같아 보임. 적어도 4단계는 되어야 할 것 같아 보임. 사람 수가 너무 적어서 내가 이 사람을 계속 봐서 외워진 것인지 아니면 분간이 되는 것인지 모르겠음. 전체적으로 많이 어려움. 100% 확신을 가지고 선택한 경우는 손에 꼽을 정도로. 해어스타일을 많이 보게 되는 듯함. 특히, 앞머리로 구분이 잘 됨.","When there is a second level of light and shade, no matter how good the resolution is, it seems to be difficult to distinguish. Looks like it should be at least level four. The number of people is so small that I don't know if I've seen this person over and over again and memorized it or if I can tell it apart. Very difficult overall. I think I see a lot of hae-style so that I can choose with 100% confidence. Especially, it's distinguished with bangs.",
